=== WINDOWS SERVICES ===
NAME                      STATE      VERSION              RISK       PATH
MSDTC                     Stopped    2001.12.10941.16384  Unknown    C:\WINDOWS\System32\msdtc.exe
MSiSCSI                   Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
msiserver                 Stopped    5.0.26100.1150       Unknown    C:\WINDOWS\system32\msiexec.exe
MsKeyboardFilter          Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
MyWiFiDHCPDNS             Stopped    Path not found       Unknown    C:\Program
NahimicService            Running    2.8.2.0              Unknown    C:\WINDOWS\System32\NahimicService.exe
NaturalAuthentication     Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
NcaSvc                    Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\System32\svchost.exe
NcbService                Running    10.0.26100.1150      Unknown    C:\WINDOWS\System32\svchost.exe
NcdAutoSetup              Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\System32\svchost.exe
Netlogon                  Stopped    10.0.26100.1882      Unknown    C:\WINDOWS\system32\lsass.exe
Netman                    Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\System32\svchost.exe
netprofm                  Running    10.0.26100.1150      Unknown    C:\WINDOWS\System32\svchost.exe
NetSetupSvc               Stopped    Unknown              Unknown    Not available
NetTcpPortSharing         Stopped    4.8.9032.0           Unknown    C:\WINDOWS\Microsoft.NET\Framework64\v4.0.30319\SMSvcHost.exe
NgcCtnrSvc                Running    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
NgcSvc                    Running    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
NlaSvc                    Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\System32\svchost.exe
nsi                       Running    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
nvagent                   Running    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
NvContainerLocalSystem    Running    Path not found       Unknown    C:\Program
NvContainerNetworkService Stopped    Path not found       Unknown    C:\Program
NVDisplay.ContainerLocalSystem Running    1.37.3103.4323       Unknown    C:\WINDOWS\System32\DriverStore\FileRepository\nvmisig.inf_amd64_80f3e31dcf250b30\Display.NvContainer\NVDisplay.Container.exe
NvTelemetryContainer      Running    Path not found       Unknown    C:\Program
